Hour,Other,Shopping,Meal,SocRec,Home,Work
0,0.326677106,0.167523576,0.020315863,0.637736611,22.37824494,0.673831799
1,0,0,0,0,0.075965675,0
2,0,0,0,0.019138433,0.025919463,0
3,0,0,0,0,0,0
4,0,0.016110143,0,0.017622846,0,0.081643763
5,0.041660941,0.019023974,0.019396653,0.127977165,0.053221871,0.311104367
6,0.432193504,0.109997319,0.059732458,0.159920167,0.19770025,1.301280856
7,1.624340458,0.204267934,0.218810704,0.303898241,0.663176915,5.306388549
8,1.219332046,0.425345853,0.441404421,0.582296092,0.847133998,4.328658619
9,0.961252482,0.6017822,0.328318444,0.575615518,0.897370308,1.851363286
10,0.932437805,0.841171081,0.271166173,0.506730117,0.710265681,0.912193672
11,0.874109964,1.213164377,0.901313669,0.463047414,1.261029479,0.58614279
12,0.823419217,0.982747746,1.344442701,0.568490128,1.60582651,1.316629039
13,0.719339084,1.016178796,0.629892545,0.436984517,1.604404994,1.414529879
14,0.79783233,0.822414371,0.244426323,0.523022069,1.252991694,0.5844288
15,1.221155339,0.647119535,0.457558184,0.489288509,3.023790499,0.482095138
16,1.321211899,1.043577173,0.453207307,0.81226805,4.347885696,0.529229523
17,1.245733223,1.067959839,0.510465535,1.383309273,4.645262845,0.337193774
18,0.856736627,0.713792822,0.712053381,1.049268456,3.524492045,0.231169025
19,0.24768165,0.461892983,0.638934164,0.489650644,2.647150893,0.058822607
20,0.19768591,0.206865216,0.212117788,0.355146928,1.934186645,0
21,0.09729924,0.063665285,0.130000633,0.1365614,1.137710457,0.087371685
22,0.063112215,0,0.052436268,0.082876802,0.809614299,0
23,0.05009921,0.015067562,0,0.062349019,0.655392885,0
24,0,0,0,0,0,0
