Hour,Other,Shopping,Meal,SocRec,Home,Work
0,0.348085676,0.090875033,0,0.598826763,22.41283305,0.664152582
1,0.022663389,0,0,0,0.114071596,0
2,0,0,0,0,0.117447636,0
3,0,0,0,0,0.019485919,0
4,0,0,0,0.059580424,0.058425976,0.17377705
5,0.035498527,0,0.023275022,0.150517006,0.038579477,0.256756496
6,0.293802882,0.062539219,0.064912649,0.134263164,0.302166774,1.200799535
7,1.764611696,0.156210635,0.239369543,0.343038156,0.442067596,3.068930476
8,2.612562509,0.295996409,0.175362629,0.542604944,1.159791832,4.654361369
9,1.034775187,0.705259619,0.262966699,0.525522384,0.923463514,2.724549635
10,1.049698086,0.74785526,0.280454022,0.710267421,0.961618472,0.896486869
11,0.980411333,1.088118219,0.57588061,0.674874726,0.957218159,0.776497219
12,1.000629874,1.016918637,1.322951785,0.703374641,1.519085276,0.973490439
13,1.049715238,0.899419249,0.361876587,0.708399986,1.527548707,1.353857181
14,1.685015844,1.07236471,0.253227054,0.790418309,2.02424883,0.777138362
15,1.579374468,1.096432826,0.24565006,0.67867238,3.573662956,0.616553618
16,1.299813204,1.124515701,0.300490172,0.964192845,2.833556527,0.44721193
17,1.683143888,0.767642351,0.645247209,1.093792377,4.034437544,0.293360994
18,0.926963087,0.563467827,0.817278174,1.008695092,3.786207238,0.214601296
19,0.445339827,0.415958432,0.469483502,0.689403633,2.630744452,0.064236185
20,0.277481468,0.207466655,0.221563305,0.362649105,1.659770921,0.089036882
21,0.235040641,0.033009818,0.114047537,0.183500884,1.499271653,0.023336886
22,0.037980626,0.037127529,0,0.131583712,0.835925754,0.038389256
23,0.018663573,0,0,0.048580857,0.401488801,0.041520968
24,0,0,0,0,0,0
