Hour,Non-Commuter,Commuter
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0.023869116,0.03160117
6,0.073064556,0.083788387
7,0.188653993,0.170074961
8,0.180933842,0.089034079
9,0.171849361,0.030123531
10,0.194945305,0
11,0.225653537,0.01591917
12,0.238015182,0.024574784
13,0.214714117,0.023657075
14,0.230527452,0.052764114
15,0.260571079,0.08854664
16,0.253974363,0.076529597
17,0.258259605,0.082102154
18,0.177799567,0.030856776
19,0.124056797,0.015469475
20,0.093464441,0
21,0.052394031,0
22,0.027358568,0
23,0,0
24,0,0
